# RST localization TSV file for a build 1.3.6rc
#
# All files with tsv extension from the following directories are read on game start (relative to game installation):
#   Mods/
#   ../../workshop/content/812040/
#
# There are two ways to tell the game to use a specific language. One is by using cmd line arg
# "--language=German" and another option is to choose from the Language dropdown in the game.
#
# The game ONLY parses lines that:
# 1. start with ':' character. These are processing directives.
# 2. have at least 3 tab separated columns. These are dictionary entries. All strings are in UTF-8 encoding.
#
# Columns:
#  * "context/comment" just gives a hint where this line is in the game, it's not imported.
#  * "key" (case-sensitive) is a phrase matched in the game. If localization context is given (use-in column), both context and key must match.
#  * "translation" is what will be shown in the game.
#  * "max-len" is a hint how many characters approximately can the translation be without truncation or overflow. Not imported.
#  * "use-in" is empty by default, but localization context ids from usable-in column can be copied here to constrain where this line will be used.
#  * "usable-in" is a list of all localization context ids that can be copied into use-in. Not imported.
#
# use-in column format examples:
#  2035575234:Menu panel.prefab - points to one particular part inside menu prefab (that part has localization context id 2035575234)
#  310402963:Menu panel.prefab  - points to a different part inside menu prefab
#  2035575234:Menu panel.prefab; 310402963:Menu panel.prefab - points to both parts in menu panel
#  2035575234; 310402963 - short version of the previous line
#  2035575234:credits button in menu; 310402963:ship label in menu - same as previous line, but it shows that what's after ':' doesn't matter
#  Beam.cs - some parts of the game don't have loc ctx id, this is an example of it, it can't be used in use-in column
#
# A localization context is a non-changing integer assigned to some particular part of the game. The integer may be
# followed by some text, separated by ':', it is there just for commenting purposes and is ignored by the game.
#
# A longer guide how to edit this file and publish it in Steam Workshop is here:
# https://steamcommunity.com/sharedfiles/filedetails/?id=2244605825

# Display name should be the first non-comment, non-empty line. It marks that all the following lines are in that language.
:displayName English

# Plurals forms are used like described here, except the separator is '|'
# https://developer.mozilla.org/en-US/docs/Mozilla/Localization/Localization_and_Plurals#Developing_with_PluralForm
:mozillaPluralRuleNumber 1

# Columns (only the translation and use-in columns should be edited):
# comment	key	translation	max-len	use-in	usable-in

Beam.cs
	DEFLECT	DEFLECT	0		Beam.cs; Projectile.cs

CrewLeaveArea.cs
	Retired	Retired	0		CrewLeaveArea.cs
	{0} left	{0} left	0		CrewLeaveArea.cs

Crewmember.cs
	Died of starvation	Died of starvation	0		Crewmember.cs
	Killed by hostile crew	Killed by hostile crew	0		Crewmember.cs
	presence	presence	0		Crewmember.cs
	bridge skill	bridge skill	0		Crewmember.cs
	sensor skill	sensor skill	0		Crewmember.cs
	gunnery skill	gunnery skill	0		Crewmember.cs
	shield skill	shield skill	0		Crewmember.cs
	repair skill	repair skill	0		Crewmember.cs
	firefight skill	firefight skill	0		Crewmember.cs
	hand weapon skill	hand weapon skill	0		Crewmember.cs
	gardening skill	gardening skill	0		Crewmember.cs
	science skill	science skill	0		Crewmember.cs
	warp skill	warp skill	0		Crewmember.cs
	no skill	no skill	0		Crewmember.cs
	Moving to position	Moving to position	0		Crewmember.cs
	Attacking {0}	Attacking {0}	0		Crewmember.cs
	Going to repair {0}	Going to repair {0}	0		Crewmember.cs
	Waiting until can repair {0}	Waiting until can repair {0}	0		Crewmember.cs
	Repairing {0}	Repairing {0}	0		Crewmember.cs
	Going to heal in {0}	Going to heal in {0}	0		Crewmember.cs
	Going to cryosleep in {0}	Going to cryosleep in {0}	0		Crewmember.cs
	Going to operate {0}	Going to operate {0}	0		Crewmember.cs
	Waiting until can heal in {0}	Waiting until can heal in {0}	0		Crewmember.cs
	Waiting until can cryosleep in {0}	Waiting until can cryosleep in {0}	0		Crewmember.cs
	Waiting until can operate {0}	Waiting until can operate {0}	0		Crewmember.cs
	Using {0} for healing	Using {0} for healing	0		Crewmember.cs
	Operating {0}	Operating {0}	0		Crewmember.cs
	Going to fight fire	Going to fight fire	0		Crewmember.cs
	Fighting fire	Fighting fire	0		Crewmember.cs
	Defreezing	Defreezing	0		Crewmember.cs
