:displayName English

'1 Pi Capitaalo planet, want exotics.prefab
'name2	'((Inhabited planet))	'((Inhabited planet))	25		'383958601:dlc2/1 Pi Capitaalo planet, want exotics.prefab; 180401831:dlc2/2 Pi Phobian planet 2, wasteland.prefab; 310536612:dlc2/1 Pi Capitaalo planet, want synth.prefab; 416434856:dlc2/1 Pi Capitaalo planet, want organics.prefab; 685940565:dlc2/2 Pi Phobian planet 1, want credits.prefab; 1615424338:dlc2/1 Pi Capitaalo planet, want explosives.prefab; 1852234114:dlc2/1 Pi Capitaalo planet, want organics 2.prefab; 1930524378:dlc2/2 Pi Phobian planet 3, give weapon.prefab
'text2	'Trade completed without problems.	'Trade completed without problems.	400		'878497087:dlc2/1 Pi Capitaalo planet, want exotics.prefab; 805075098:dlc2/1 Pi Capitaalo planet, want synth.prefab; 2109962824:dlc2/1 Pi Capitaalo planet, want explosives.prefab
'title	'Capitaalo fuel colony	'Capitaalo fuel colony	35		'1561084453:dlc2/1 Pi Capitaalo planet, want exotics.prefab; 1561084453:dlc2/1 Pi Capitaalo planet, want exotics.prefab
'text	'We've found another Capitaalo colony. These quasi-primitives are obsessed with their ancient currency system and enjoy measuring things in money. Their colony leaders propose a trade, they want exotics in exchange for starfuel that they produce.	'We've found another Capitaalo colony. These quasi-primitives are obsessed with their ancient currency system and enjoy measuring things in money. Their colony leaders propose a trade, they want exotics in exchange for starfuel that they produce.	400		'1561084453:dlc2/1 Pi Capitaalo planet, want exotics.prefab
'choiceText	'Trade [-2 exotics for 80 fuel]	'Trade [-2 exotics for 80 fuel]	100		'1561084453:dlc2/1 Pi Capitaalo planet, want exotics.prefab

'1 Pi Capitaalo planet, want explosives.prefab
'title	'Capitaalo mining colony	'Capitaalo mining colony	35		'645066542:dlc2/1 Pi Capitaalo planet, want explosives.prefab; 645066542:dlc2/1 Pi Capitaalo planet, want explosives.prefab; 881876318:dlc2/1 Pi Capitaalo planet, want organics 2.prefab; 881876318:dlc2/1 Pi Capitaalo planet, want organics 2.prefab; 1593560708:dlc2/1 Pi Capitaalo planet, want organics.prefab; 1593560708:dlc2/1 Pi Capitaalo planet, want organics.prefab
'text	'We've found a Capitaalo mining colony. These quasi-primitives are obsessed with their ancient currency system and enjoy measuring things in money. Their colony leaders propose a trade, they need explosives in exchange for precious metals.	'We've found a Capitaalo mining colony. These quasi-primitives are obsessed with their ancient currency system and enjoy measuring things in money. Their colony leaders propose a trade, they need explosives in exchange for precious metals.	400		'645066542:dlc2/1 Pi Capitaalo planet, want explosives.prefab
'choiceText	'Trade [-80 explosives for 175 metal]	'Trade [-80 explosives for 175 metal]	100		'645066542:dlc2/1 Pi Capitaalo planet, want explosives.prefab

'1 Pi Capitaalo planet, want organics 2.prefab
'text2	'We sent the colony representatives new plants and seeds to postpone their demise. The poor locals gave us a small heap of low-quality resources, but also a little something from one of their abandoned research facilities. It seems they've not forgotten generosity.	'We sent the colony representatives new plants and seeds to postpone their demise. The poor locals gave us a small heap of low-quality resources, but also a little something from one of their abandoned research facilities. It seems they've not forgotten generosity.	400		'199288952:dlc2/1 Pi Capitaalo planet, want organics 2.prefab
'text	'It seems industrial activity has nearly destroyed the ecosphere of this planet, and this Capitaalo colony is also on the verge of life support collapse. The locals beg for help restoring their biodiversity. They have only scraps to offer back.	'It seems industrial activity has nearly destroyed the ecosphere of this planet, and this Capitaalo colony is also on the verge of life support collapse. The locals beg for help restoring their biodiversity. They have only scraps to offer back.	400		'881876318:dlc2/1 Pi Capitaalo planet, want organics 2.prefab
