:displayName English

Drone intruderbot nuke 2.prefab
displayName	Drone nuke	Drone nuke	35		695475019:dlc3/Drone intruderbot nuke 2.prefab; 1422585745:dlc3/Drone intruderbot nuke.prefab

Drone intruderbot nuke launcher 2.prefab
displayName	Light intruderbots assault nuke	Light intruderbots assault nuke	40		73433649:dlc3/Drone intruderbot nuke launcher 2.prefab
description	Armored, fast boarding missile that contains 2 assault droids. The droids are released into enemy ship on hit. They can be recalled with normal move orders. More nukes like these can be crafted via selecting an empty nuke slot.	Armored, fast boarding missile that contains 2 assault droids. The droids are released into enemy ship on hit. They can be recalled with normal move orders. More nukes like these can be crafted via selecting an empty nuke slot.	200		73433649:dlc3/Drone intruderbot nuke launcher 2.prefab

Drone intruderbot nuke launcher.prefab
displayName	Heavy intruderbots assault nuke	Heavy intruderbots assault nuke	40		1021533631:dlc3/Drone intruderbot nuke launcher.prefab
description	Armored, fast boarding missile that contains 2 heavy assault sentinels, released into enemy ship on hit. They can be recalled with normal move orders. More nukes like these can be crafted via selecting an empty nuke slot on the ship. To unload the droids, simply shoot the nuke at our ship (no damage)	Armored, fast boarding missile that contains 2 heavy assault sentinels, released into enemy ship on hit. They can be recalled with normal move orders. More nukes like these can be crafted via selecting an empty nuke slot on the ship. To unload the droids, simply shoot the nuke at our ship (no damage)	200		1021533631:dlc3/Drone intruderbot nuke launcher.prefab

Drone intruderbot nuke.prefab

Drone tank space pod.prefab
displayName	Drone tank space pod	Drone tank space pod	35		1004866397:dlc3/Drone tank space pod.prefab

Drone tank spider.prefab
appearance[i].name	Death Turtle	Death Turtle	30		497796051:dlc3/Drone tank spider.prefab
appearance[i].description	Heavy assault mecha-	Heavy assault mecha-	250		497796051:dlc3/Drone tank spider.prefab

Drone tank.prefab
appearance[i].name	Assault tank drone	Assault tank drone	30		1544221616:dlc3/Drone tank.prefab
appearance[i].description	Assault tank drone with autocannon. Heavily armored and fireproof.	Assault tank drone with autocannon. Heavily armored and fireproof.	250		1544221616:dlc3/Drone tank.prefab

Hand weapon drone cannon 3x.prefab
displayName	Multibarrel cannon	Multibarrel cannon	25		1747784095:dlc3/Hand weapon drone cannon 3x.prefab
description	All-purpose autocannon 3x.	All-purpose autocannon 3x.	250		1747784095:dlc3/Hand weapon drone cannon 3x.prefab

Hand weapon drone cannon.prefab
displayName	Heavy cannon	Heavy cannon	25		2103766536:dlc3/Hand weapon drone cannon.prefab
description	All-purpose heavy cannon.	All-purpose heavy cannon.	250		2103766536:dlc3/Hand weapon drone cannon.prefab

Hand weapon drone lazer.prefab
displayName	Orangeray emitter	Orangeray emitter	25		388204983:dlc3/Hand weapon drone lazer.prefab
description	Exotic ray emitter.	Exotic ray emitter.	250		388204983:dlc3/Hand weapon drone lazer.prefab

Nuke launcher slot for 14 warrior.prefab

Perk nuke decoy for Warrior.prefab
displayName	Decoy Nukes x3	Decoy Nukes x3	40		1356236342:dlc3/Perk nuke decoy for Warrior.prefab
description	Heavily armored decoy nukes for drawing fire of enemy point-defences.	Heavily armored decoy nukes for drawing fire of enemy point-defences.	250		1356236342:dlc3/Perk nuke decoy for Warrior.prefab
randomizerMenuStrings[i]	+3 capital missiles	+3 capital missiles	30		1356236342:dlc3/Perk nuke decoy for Warrior.prefab

Warrior.prefab
description	This superheavy assault dreadnought fields a formidable army of robotic tanks, droids and intruder-filled nukes, but lacks severeal crucial components. A new warpdrive, shield batteries and more living crew are recommended for a fair chance of survival in the depths of space.	This superheavy assault dreadnought fields a formidable army of robotic tanks, droids and intruder-filled nukes, but lacks severeal crucial components. A new warpdrive, shield batteries and more living crew are recommended for a fair chance of survival in the depths of space.	400		470176920:dlc3/Warrior.prefab
