:displayName English (updated)

Dog.prefab
appearance[i].description	A trained dog, with brain implants. Has been taught to operate ship sensors, although does not completely understand what he is doing.	A trained dog, with brain implants. Has been taught to operate ship sensors, although does not completely understand what he is doing.	250		1502599448:sdlc/Dog.prefab

Drone tigerdog.prefab

Drone tigerspider assaulter.prefab
appearance[i].description	Heavy-duty drone modded for boarding operations. Upgraded software allows unhindered destructive behaviour. Almost fireproof.	Heavy-duty drone modded for boarding operations. Upgraded software allows unhindered destructive behaviour. Almost fireproof.	250		1800714178:sdlc/Drone tigerspider assaulter.prefab

Female cyborg crew.prefab
appearance[i].description	A codehacker who wants to become fully android one day.	A codehacker who wants to become fully android one day.	250		2094501679:sdlc/Female cyborg crew.prefab

Floater.prefab
appearance[i].description	This social warp presentient is an extreme rarity. It is quite intelligent and likes staring into human eyes.	This social warp presentient is an extreme rarity. It is quite intelligent and likes staring into human eyes.	250		185113131:sdlc/Floater.prefab

Human sunglasses crew.prefab
appearance[i].description	A professional ambassador. Wears powerful eye-implants.	A professional ambassador. Wears powerful eye-implants.	250		1696290198:sdlc/Human sunglasses crew.prefab
appearance[i].description	A professional ambassador. Some handweapon training, and good eye implants.	A professional ambassador. Some handweapon training, and good eye implants.	250		1696290198:sdlc/Human sunglasses crew.prefab
appearance[i].description	A professional ambassador. Knows many alien jokes. Always protects his eyes because he lost them once to molecular acid.	A professional ambassador. Knows many alien jokes. Always protects his eyes because he lost them once to molecular acid.	250		1696290198:sdlc/Human sunglasses crew.prefab
appearance[i].description	A professional ambassador. Wears powerful eye-augmentations.	A professional ambassador. Wears powerful eye-augmentations.	250		1696290198:sdlc/Human sunglasses crew.prefab
appearance[i].description	A professional ambassador. Always protects his eyes because he lost them once to molecular acid attack.	A professional ambassador. Always protects his eyes because he lost them once to molecular acid attack.	250		1696290198:sdlc/Human sunglasses crew.prefab

Lizard.prefab
appearance[i].description	A large lizard capable of producing electrical energy from its eyes.	A large lizard capable of producing electrical energy from its eyes.	250		301730638:sdlc/Lizard.prefab

